team,location,date,link,roster,stats,site_type
Old Dominion,"Norfolk, VA",Apr 28,http://www.odusports.com/,/sports/baseball/roster,https://admin.xosn.com/fls/31100//2018-19/Baseball/_HTML/teamstat.htm?path=bsb,sidearm
Georgia Tech,"Charlottesville, VA",May 8,http://www.ramblinwreck.com/,sports/m-basebl/roster/,https://data.ramblinwreck.com/stats/baseball/2019/teamcume.htm,wmt
Georgia Tech,"Charlottesville, VA",May 9,http://www.ramblinwreck.com/,sports/m-basebl/roster/,https://data.ramblinwreck.com/stats/baseball/2019/teamcume.htm,wmt
Georgia Tech,"Charlottesville, VA",May 10,http://www.ramblinwreck.com/,sports/m-basebl/roster/,https://data.ramblinwreck.com/stats/baseball/2019/teamcume.htm,wmt
VCU,"Charlottesville, VA",May 12,http://vcuathletics.com,sports/bsb/2019-20/roster,https://vcuathletics.com/sports/bsb/2018-19/files/teamcume.htm,presto
North Carolina,"Charlottesville, VA",May 14,http://goheels.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
North Carolina,"Charlottesville, VA",May 15,http://goheels.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
North Carolina,"Charlottesville, VA",May 16,http://goheels.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
2020 Virginia Baseball,NA,NA,http://www.virginiasports.com,/sports/baseball/roster,https://static.virginiasports.com/custompages/sports/m-basebl/stats/2019-2020/teamstat.htm,sidearm
2019 Virginia Baseball,NA,NA,http://www.virginiasports.com,/sports/baseball/roster,https://static.virginiasports.com/custompages/sports/m-basebl/stats/2018-2019/teamstat.htm,sidearm
